Date,Meninggal (baru),Sembuh (baru)
5 Apr 2022,72,7241
6 Apr 2022,43,5415
7 Apr 2022,45,5888
8 Apr 2022,47,3442
9 Apr 2022,41,3865
10 Apr 2022,29,2493
11 Apr 2022,48,3978
12 Apr 2022,43,3286
13 Apr 2022,29,3022
14 Apr 2022,48,3216
15 Apr 2022,26,2275
16 Apr 2022,24,2768
17 Apr 2022,22,2782
18 Apr 2022,37,7831
19 Apr 2022,34,2750
20 Apr 2022,37,4635
21 Apr 2022,41,14416
22 Apr 2022,25,10808
23 Apr 2022,27,2082
24 Apr 2022,33,2168
25 Apr 2022,33,4664
26 Apr 2022,30,4058
27 Apr 2022,36,1178
28 Apr 2022,18,1171
29 Apr 2022,23,572
30 Apr 2022,17,598
1 Mei 2022,16,633
2 Mei 2022,14,371
3 Mei 2022,18,395
4 Mei 2022,16,266
5 Mei 2022,19,445
6 Mei 2022,17,329
7 Mei 2022,14,307
8 Mei 2022,10,452
9 Mei 2022,15,353
10 Mei 2022,20,659
11 Mei 2022,8,916
12 Mei 2022,14,785
13 Mei 2022,10,254
14 Mei 2022,5,416
15 Mei 2022,5,293
16 Mei 2022,6,263
17 Mei 2022,17,1029
18 Mei 2022,17,364
19 Mei 2022,12,384
20 Mei 2022,3,298
21 Mei 2022,6,254
22 Mei 2022,3,285
23 Mei 2022,12,929
24 Mei 2022,14,288
25 Mei 2022,5,232
26 Mei 2022,3,243
27 Mei 2022,9,277
28 Mei 2022,8,248
29 Mei 2022,1,261
30 Mei 2022,12,287
31 Mei 2022,5,247
1 Jun 2022,3,183
2 Jun 2022,6,334
3 Jun 2022,4,350
4 Jun 2022,6,258
5 Jun 2022,5,204
6 Jun 2022,7,270
7 Jun 2022,2,350
8 Jun 2022,4,258
9 Jun 2022,7,410
10 Jun 2022,3,344
11 Jun 2022,3,374
12 Jun 2022,2,353
13 Jun 2022,9,390
14 Jun 2022,10,548
15 Jun 2022,8,525
16 Jun 2022,3,509
17 Jun 2022,6,556
18 Jun 2022,5,523
19 Jun 2022,3,632
20 Jun 2022,8,667
21 Jun 2022,5,677
22 Jun 2022,2,687
23 Jun 2022,4,1146
24 Jun 2022,5,998
25 Jun 2022,3,1074
26 Jun 2022,3,1175
27 Jun 2022,9,1637
28 Jun 2022,2,1170
29 Jun 2022,3,1282
30 Jun 2022,6,1626
1 Jul 2022,3,1921
2 Jul 2022,5,1789
3 Jul 2022,4,1606
4 Jul 2022,9,1868
5 Jul 2022,8,1691
6 Jul 2022,4,2045
7 Jul 2022,6,1877
8 Jul 2022,5,2386
9 Jul 2022,4,1973
10 Jul 2022,6,1890
11 Jul 2022,7,1866
12 Jul 2022,8,1780
13 Jul 2022,12,1939
14 Jul 2022,9,2872
15 Jul 2022,6,2842
16 Jul 2022,6,2702
17 Jul 2022,10,2574
18 Jul 2022,10,2427
19 Jul 2022,6,2596
20 Jul 2022,10,2331
21 Jul 2022,5,2925
22 Jul 2022,13,3363
23 Jul 2022,9,4108
24 Jul 2022,0,2684
25 Jul 2022,14,4023
26 Jul 2022,13,3511
27 Jul 2022,11,3825
28 Jul 2022,17,5705
29 Jul 2022,13,4485
30 Jul 2022,13,4268
31 Jul 2022,10,4597
1 Agu 2022,11,4579
2 Agu 2022,24,4564
3 Agu 2022,18,4340
4 Agu 2022,14,6664
5 Agu 2022,12,6323
6 Agu 2022,10,4850
7 Agu 2022,13,5016
8 Agu 2022,18,4919
9 Agu 2022,18,4850
10 Agu 2022,18,4906
11 Agu 2022,22,4824
12 Agu 2022,18,5226
13 Agu 2022,19,5055
14 Agu 2022,18,4903
15 Agu 2022,26,4508
16 Agu 2022,25,5803
17 Agu 2022,19,4324
18 Agu 2022,21,5250
19 Agu 2022,26,5028
20 Agu 2022,22,4302
21 Agu 2022,12,6044
22 Agu 2022,19,4978
23 Agu 2022,24,5134
24 Agu 2022,18,5550
25 Agu 2022,19,5780
26 Agu 2022,21,5758
27 Agu 2022,15,2514
28 Agu 2022,7,5044
29 Agu 2022,21,4702
30 Agu 2022,20,4510
31 Agu 2022,25,4384
1 Sep 2022,25,4843
2 Sep 2022,17,4451
3 Sep 2022,23,4002
4 Sep 2022,16,3751
5 Sep 2022,21,4444
6 Sep 2022,28,5136
7 Sep 2022,21,3505
8 Sep 2022,12,3441
9 Sep 2022,12,5346
10 Sep 2022,16,3098
11 Sep 2022,13,2725
12 Sep 2022,17,3465
13 Sep 2022,20,3617
14 Sep 2022,21,3938
15 Sep 2022,21,3915
16 Sep 2022,27,2997
17 Sep 2022,8,2681
18 Sep 2022,8,1667
19 Sep 2022,23,3390
20 Sep 2022,15,2533
21 Sep 2022,18,2991
22 Sep 2022,18,4051
23 Sep 2022,20,3077
24 Sep 2022,12,2040
25 Sep 2022,16,2569
26 Sep 2022,22,2842
27 Sep 2022,21,2070
28 Sep 2022,19,1884
29 Sep 2022,17,2814
30 Sep 2022,19,2601
1 Okt 2022,10,1526
2 Okt 2022,10,1575
3 Okt 2022,11,2263
4 Okt 2022,13,1538
5 Okt 2022,9,1364
6 Okt 2022,12,1715
7 Okt 2022,15,1822
8 Okt 2022,6,1541
9 Okt 2022,7,1273
10 Okt 2022,14,1518
11 Okt 2022,16,1540
12 Okt 2022,14,1283
13 Okt 2022,14,1713
14 Okt 2022,18,1524
15 Okt 2022,20,1867
16 Okt 2022,12,1362
17 Okt 2022,14,1609
18 Okt 2022,18,1431
19 Okt 2022,16,1408
20 Okt 2022,19,1873
21 Okt 2022,18,1970
22 Okt 2022,18,2308
23 Okt 2022,13,1206
24 Okt 2022,25,2378
25 Okt 2022,21,1757
26 Okt 2022,24,1458
27 Okt 2022,23,2954
28 Okt 2022,22,1783
29 Okt 2022,27,2109
30 Okt 2022,26,1895
31 Okt 2022,34,2309
1 Nov 2022,32,2071
2 Nov 2022,32,2050
3 Nov 2022,42,2882
4 Nov 2022,31,3197
5 Nov 2022,39,2930
6 Nov 2022,22,2495
7 Nov 2022,42,3348
8 Nov 2022,38,3197
9 Nov 2022,43,3198
10 Nov 2022,37,4223
11 Nov 2022,46,4139
12 Nov 2022,33,4739
13 Nov 2022,36,4347
14 Nov 2022,54,4188
15 Nov 2022,41,4038
16 Nov 2022,54,4255
17 Nov 2022,38,5264
18 Nov 2022,32,5854
19 Nov 2022,25,4914
20 Nov 2022,31,5690
21 Nov 2022,43,6855
22 Nov 2022,51,4984
23 Nov 2022,51,4903
24 Nov 2022,41,7669
25 Nov 2022,35,6752
26 Nov 2022,41,6360
27 Nov 2022,35,5655
28 Nov 2022,59,5864
29 Nov 2022,54,5476
30 Nov 2022,41,4411
1 Des 2022,54,6499
2 Des 2022,37,6001
3 Des 2022,32,5228
4 Des 2022,25,5772
5 Des 2022,48,5033
6 Des 2022,45,4179
7 Des 2022,41,3240
8 Des 2022,27,5118
9 Des 2022,36,4711
10 Des 2022,23,3507
11 Des 2022,26,3731
12 Des 2022,31,3848
13 Des 2022,32,3402
14 Des 2022,24,2508
15 Des 2022,24,3779
16 Des 2022,27,2806
17 Des 2022,22,2369
18 Des 2022,14,2035
19 Des 2022,26,3240
20 Des 2022,27,2781
21 Des 2022,15,2427
22 Des 2022,22,2324
23 Des 2022,19,2812
24 Des 2022,17,1294
25 Des 2022,13,974
26 Des 2022,14,3212
